date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-07-31,sh.603757,26.8255251000,2,1.135000,1,0.222200,0
2023-08-01,sh.603757,26.7660450000,2,1.503600,1,-0.221700,0
2023-08-02,sh.603757,26.7164782500,2,0.943000,1,-0.185200,0
2023-08-03,sh.603757,26.6371714500,2,0.794700,1,-0.296800,0
2023-08-04,sh.603757,26.9742253500,2,1.086900,1,1.265400,0
2023-08-07,sh.603757,26.3001175500,2,1.397800,1,-2.499100,0
2023-08-08,sh.603757,25.8639301500,2,0.994100,1,-1.658500,0
2023-08-09,sh.603757,25.4971362000,2,0.900400,1,-1.418200,0
2023-08-10,sh.603757,25.8242767500,2,0.627400,1,1.283000,0
2023-08-11,sh.603757,25.1898223500,2,0.931500,1,-2.456800,0
2023-08-14,sh.603757,25.3087825500,2,1.125800,1,0.472300,0
2023-08-15,sh.603757,24.9816420000,2,0.714000,1,-1.292600,0
2023-08-16,sh.603757,24.7635483000,2,0.593500,1,-0.873000,0
2023-08-17,sh.603757,25.2790425000,2,1.032200,1,2.081700,0
2023-08-18,sh.603757,24.9122485500,2,0.635800,1,-1.451000,0
2023-08-21,sh.603757,24.8825085000,2,0.820600,1,-0.119400,0
2023-08-22,sh.603757,25.0113820500,2,0.721100,1,0.517900,0
2023-08-23,sh.603757,24.3273609000,2,0.712000,1,-2.734800,0
2023-08-24,sh.603757,24.7635483000,2,0.735900,1,1.793000,0
2023-08-25,sh.603757,24.3372742500,2,0.765200,1,-1.721400,0
2023-08-28,sh.603757,24.4859745000,2,1.241500,1,0.611000,0
2023-08-29,sh.603757,25.6260097500,2,1.637300,1,4.655900,0
2023-08-30,sh.603757,25.9729770000,2,0.830600,1,1.354000,0
2023-08-31,sh.603757,26.0324571000,2,0.835000,1,0.229000,0
2023-09-01,sh.603757,25.8540168000,2,1.280600,1,-0.685500,0
2023-09-04,sh.603757,25.7846233500,2,1.345500,1,-0.268400,0
2023-09-05,sh.603757,25.8143634000,2,0.917900,1,0.115300,0
2023-09-06,sh.603757,25.8143634000,2,0.634300,1,0.000000,0
2023-09-07,sh.603757,25.4574828000,2,0.860700,1,-1.382500,0
2023-09-08,sh.603757,25.8143634000,2,0.805200,1,1.401900,0
2023-09-11,sh.603757,25.6656631500,2,0.967800,1,-0.576000,0
2023-09-12,sh.603757,25.8936702000,2,0.925300,1,0.888400,0
2023-09-13,sh.603757,25.5367896000,2,0.789500,1,-1.378300,0
2023-09-14,sh.603757,25.1997357000,2,0.877200,1,-1.319900,0
2023-09-15,sh.603757,25.2294757500,2,0.630200,1,0.118000,0
2023-09-18,sh.603757,25.1799090000,2,0.778200,1,-0.196500,0
2023-09-19,sh.603757,25.0014687000,2,0.693100,1,-0.708700,0
2023-09-20,sh.603757,24.9519019500,2,0.781500,1,-0.198300,0
2023-09-21,sh.603757,24.8428551000,2,0.619800,1,-0.437000,0
2023-09-22,sh.603757,25.3880893500,2,1.602500,1,2.194700,0
2023-09-25,sh.603757,24.9221619000,2,1.148900,1,-1.835200,0
2023-09-26,sh.603757,24.9320752500,2,0.955000,1,0.039800,0
2023-09-27,sh.603757,24.3868410000,2,2.502800,1,-2.186900,0
2023-09-28,sh.603757,24.5652813000,2,1.396000,1,0.731700,0
